Cultivation,Block,Plot,Quadrat,Species,Count
october,a,1,Q3,Stellaria graminea,1
october,a,1,Q3,Taraxacum officinale,NA
october,a,1,Q3,Tripleurospermum inodorum,NA
october,a,1,Q3,Veronica arvensis,NA
october,a,1,Q3,Veronica persica,NA
october,a,1,Q3,Viola arvensis,1
october,a,1,Q3,Vulpia myuros,NA
october,a,1,Q4,Achillea millefolium,20
october,a,1,Q4,Agrostis gigantea,NA
october,a,1,Q4,Anagallis arvensis,NA
october,a,1,Q4,Anchusa arvensis,1
october,a,1,Q4,Anisantha sterilis,NA
october,a,1,Q4,Aphanes australis,NA
october,a,1,Q4,Artemesia vulgaris,NA
october,a,1,Q4,Bromus hordaceus,NA
october,a,1,Q4,Cerastium glomeratun,NA
october,a,1,Q4,Chenopodium album,NA
october,a,1,Q4,Cirsium arvense,NA
october,a,1,Q4,Conyza canadensis,NA
october,a,1,Q4,Crepis capillaris,NA
october,a,1,Q4,Crepis paludos,NA
october,a,1,Q4,Elytrigia repens,NA
october,a,1,Q4,Epilobium ciliatum,NA
october,a,1,Q4,Erodium cicutarium,NA
october,a,1,Q4,Fallopia convolvulus,NA
october,a,1,Q4,Festuca rubra,NA
october,a,1,Q4,Geranium molle,NA
october,a,1,Q4,Holcus mollis,124
october,a,1,Q4,Hypochaeris radicata,NA
october,a,1,Q4,Lactuca serriola,NA
october,a,1,Q4,Medicago lupulina,NA
october,a,1,Q4,Myosotis arvensis,NA
october,a,1,Q4,Plantago lanceolata,NA
october,a,1,Q4,Polpaver dubium,NA
october,a,1,Q4,Raphanus raphanistrum,NA
october,a,1,Q4,Rumex acetosella,6
october,a,1,Q4,Rumex crispus,NA
october,a,1,Q4,Rumex obtusifolia,NA
october,a,1,Q4,Semecio jacobaea,NA
october,a,1,Q4,Sonchus asper,NA
october,a,1,Q4,Spergula arvensis,NA
october,a,1,Q4,Stellaria graminea,NA
october,a,1,Q4,Taraxacum officinale,NA
october,a,1,Q4,Tripleurospermum inodorum,NA
october,a,1,Q4,Veronica arvensis,NA
october,a,1,Q4,Veronica persica,NA
october,a,1,Q4,Viola arvensis,1
october,a,1,Q4,Vulpia myuros,NA
october,a,1,Q5,Achillea millefolium,6
october,a,1,Q5,Agrostis gigantea,15
october,a,1,Q5,Anagallis arvensis,NA
october,a,1,Q5,Anchusa arvensis,NA
october,a,1,Q5,Anisantha sterilis,5
october,a,1,Q5,Aphanes australis,NA
october,a,1,Q5,Artemesia vulgaris,NA
october,a,1,Q5,Bromus hordaceus,NA
october,a,1,Q5,Cerastium glomeratun,NA
october,a,1,Q5,Chenopodium album,NA
october,a,1,Q5,Cirsium arvense,NA
october,a,1,Q5,Conyza canadensis,NA
october,a,1,Q5,Crepis capillaris,NA
october,a,1,Q5,Crepis paludos,NA
october,a,1,Q5,Elytrigia repens,NA
october,a,1,Q5,Epilobium ciliatum,NA
october,a,1,Q5,Erodium cicutarium,NA
october,a,1,Q5,Fallopia convolvulus,NA
october,a,1,Q5,Festuca rubra,NA
october,a,1,Q5,Geranium molle,NA
october,a,1,Q5,Holcus mollis,115
october,a,1,Q5,Hypochaeris radicata,NA
october,a,1,Q5,Lactuca serriola,NA
october,a,1,Q5,Medicago lupulina,NA
october,a,1,Q5,Myosotis arvensis,NA
october,a,1,Q5,Plantago lanceolata,NA
october,a,1,Q5,Polpaver dubium,NA
october,a,1,Q5,Raphanus raphanistrum,NA
october,a,1,Q5,Rumex acetosella,1
october,a,1,Q5,Rumex crispus,NA
october,a,1,Q5,Rumex obtusifolia,NA
october,a,1,Q5,Semecio jacobaea,NA
october,a,1,Q5,Sonchus asper,NA
october,a,1,Q5,Spergula arvensis,NA
october,a,1,Q5,Stellaria graminea,1
october,a,1,Q5,Taraxacum officinale,10
october,a,1,Q5,Tripleurospermum inodorum,NA
october,a,1,Q5,Veronica arvensis,NA
october,a,1,Q5,Veronica persica,NA
october,a,1,Q5,Viola arvensis,NA
october,a,1,Q5,Vulpia myuros,7
may,a,2,Q1,Achillea millefolium,4
may,a,2,Q1,Agrostis gigantea,NA
may,a,2,Q1,Anagallis arvensis,NA
may,a,2,Q1,Anchusa arvensis,1
may,a,2,Q1,Anisantha sterilis,NA
may,a,2,Q1,Aphanes australis,NA
may,a,2,Q1,Artemesia vulgaris,NA
may,a,2,Q1,Bromus hordaceus,NA
may,a,2,Q1,Cerastium glomeratun,NA
may,a,2,Q1,Chenopodium album,7
may,a,2,Q1,Cirsium arvense,1
may,a,2,Q1,Conyza canadensis,NA
may,a,2,Q1,Crepis capillaris,NA
may,a,2,Q1,Crepis paludos,NA
may,a,2,Q1,Elytrigia repens,NA
may,a,2,Q1,Epilobium ciliatum,NA
may,a,2,Q1,Erodium cicutarium,16
may,a,2,Q1,Fallopia convolvulus,12
may,a,2,Q1,Festuca rubra,NA
may,a,2,Q1,Geranium molle,NA
may,a,2,Q1,Holcus mollis,120
may,a,2,Q1,Hypochaeris radicata,NA
may,a,2,Q1,Lactuca serriola,NA
may,a,2,Q1,Medicago lupulina,NA
may,a,2,Q1,Myosotis arvensis,NA
may,a,2,Q1,Plantago lanceolata,NA
may,a,2,Q1,Polpaver dubium,NA
may,a,2,Q1,Raphanus raphanistrum,NA
may,a,2,Q1,Rumex acetosella,1
may,a,2,Q1,Rumex crispus,NA
may,a,2,Q1,Rumex obtusifolia,NA
may,a,2,Q1,Semecio jacobaea,NA
may,a,2,Q1,Sonchus asper,NA
may,a,2,Q1,Spergula arvensis,2
may,a,2,Q1,Stellaria graminea,NA
may,a,2,Q1,Taraxacum officinale,NA
may,a,2,Q1,Tripleurospermum inodorum,NA
may,a,2,Q1,Veronica arvensis,NA
may,a,2,Q1,Veronica persica,2
may,a,2,Q1,Viola arvensis,NA
may,a,2,Q1,Vulpia myuros,NA
may,a,2,Q2,Achillea millefolium,NA
may,a,2,Q2,Agrostis gigantea,NA
may,a,2,Q2,Anagallis arvensis,NA
may,a,2,Q2,Anchusa arvensis,NA
may,a,2,Q2,Anisantha sterilis,NA
may,a,2,Q2,Aphanes australis,NA
may,a,2,Q2,Artemesia vulgaris,4
may,a,2,Q2,Bromus hordaceus,NA
may,a,2,Q2,Cerastium glomeratun,NA
may,a,2,Q2,Chenopodium album,NA
may,a,2,Q2,Cirsium arvense,NA
may,a,2,Q2,Conyza canadensis,NA
may,a,2,Q2,Crepis capillaris,NA
may,a,2,Q2,Crepis paludos,NA
may,a,2,Q2,Elytrigia repens,NA
may,a,2,Q2,Epilobium ciliatum,NA
may,a,2,Q2,Erodium cicutarium,3
may,a,2,Q2,Fallopia convolvulus,3
may,a,2,Q2,Festuca rubra,NA
may,a,2,Q2,Geranium molle,5
may,a,2,Q2,Holcus mollis,70
may,a,2,Q2,Hypochaeris radicata,NA
may,a,2,Q2,Lactuca serriola,NA
may,a,2,Q2,Medicago lupulina,NA
may,a,2,Q2,Myosotis arvensis,NA
may,a,2,Q2,Plantago lanceolata,NA
may,a,2,Q2,Polpaver dubium,NA
may,a,2,Q2,Raphanus raphanistrum,NA
may,a,2,Q2,Rumex acetosella,NA
may,a,2,Q2,Rumex crispus,NA
may,a,2,Q2,Rumex obtusifolia,NA
may,a,2,Q2,Semecio jacobaea,NA
may,a,2,Q2,Sonchus asper,2
may,a,2,Q2,Spergula arvensis,NA
may,a,2,Q2,Stellaria graminea,NA
may,a,2,Q2,Taraxacum officinale,1
may,a,2,Q2,Tripleurospermum inodorum,NA
may,a,2,Q2,Veronica arvensis,NA
may,a,2,Q2,Veronica persica,NA
may,a,2,Q2,Viola arvensis,NA
may,a,2,Q2,Vulpia myuros,NA
may,a,2,Q3,Achillea millefolium,NA
may,a,2,Q3,Agrostis gigantea,NA
may,a,2,Q3,Anagallis arvensis,NA
may,a,2,Q3,Anchusa arvensis,NA
may,a,2,Q3,Anisantha sterilis,NA
may,a,2,Q3,Aphanes australis,NA
may,a,2,Q3,Artemesia vulgaris,NA
may,a,2,Q3,Bromus hordaceus,NA
may,a,2,Q3,Cerastium glomeratun,NA
may,a,2,Q3,Chenopodium album,NA
may,a,2,Q3,Cirsium arvense,NA
may,a,2,Q3,Conyza canadensis,NA
may,a,2,Q3,Crepis capillaris,NA
may,a,2,Q3,Crepis paludos,NA
may,a,2,Q3,Elytrigia repens,NA
may,a,2,Q3,Epilobium ciliatum,NA
may,a,2,Q3,Erodium cicutarium,2
may,a,2,Q3,Fallopia convolvulus,13
may,a,2,Q3,Festuca rubra,NA
may,a,2,Q3,Geranium molle,NA
may,a,2,Q3,Holcus mollis,83
may,a,2,Q3,Hypochaeris radicata,NA
may,a,2,Q3,Lactuca serriola,NA
may,a,2,Q3,Medicago lupulina,NA
may,a,2,Q3,Myosotis arvensis,NA
may,a,2,Q3,Plantago lanceolata,NA
may,a,2,Q3,Polpaver dubium,NA
may,a,2,Q3,Raphanus raphanistrum,NA
may,a,2,Q3,Rumex acetosella,NA
may,a,2,Q3,Rumex crispus,NA
may,a,2,Q3,Rumex obtusifolia,NA
may,a,2,Q3,Semecio jacobaea,NA
may,a,2,Q3,Sonchus asper,4
may,a,2,Q3,Spergula arvensis,4
may,a,2,Q3,Stellaria graminea,NA
may,a,2,Q3,Taraxacum officinale,NA
may,a,2,Q3,Tripleurospermum inodorum,NA
may,a,2,Q3,Veronica arvensis,NA
may,a,2,Q3,Veronica persica,1
may,a,2,Q3,Viola arvensis,NA
may,a,2,Q3,Vulpia myuros,NA
may,a,2,Q4,Achillea millefolium,NA
may,a,2,Q4,Agrostis gigantea,NA
may,a,2,Q4,Anagallis arvensis,NA
may,a,2,Q4,Anchusa arvensis,NA
may,a,2,Q4,Anisantha sterilis,NA
may,a,2,Q4,Aphanes australis,NA
may,a,2,Q4,Artemesia vulgaris,NA
may,a,2,Q4,Bromus hordaceus,NA
may,a,2,Q4,Cerastium glomeratun,NA
may,a,2,Q4,Chenopodium album,NA
may,a,2,Q4,Cirsium arvense,NA
may,a,2,Q4,Conyza canadensis,NA
may,a,2,Q4,Crepis capillaris,NA
may,a,2,Q4,Crepis paludos,NA
may,a,2,Q4,Elytrigia repens,NA
may,a,2,Q4,Epilobium ciliatum,NA
may,a,2,Q4,Erodium cicutarium,6
may,a,2,Q4,Fallopia convolvulus,8
may,a,2,Q4,Festuca rubra,NA
may,a,2,Q4,Geranium molle,NA
may,a,2,Q4,Holcus mollis,79
may,a,2,Q4,Hypochaeris radicata,NA
may,a,2,Q4,Lactuca serriola,NA
may,a,2,Q4,Medicago lupulina,NA
may,a,2,Q4,Myosotis arvensis,NA
may,a,2,Q4,Plantago lanceolata,NA
may,a,2,Q4,Polpaver dubium,NA
may,a,2,Q4,Raphanus raphanistrum,NA
may,a,2,Q4,Rumex acetosella,5
may,a,2,Q4,Rumex crispus,NA
may,a,2,Q4,Rumex obtusifolia,NA
may,a,2,Q4,Semecio jacobaea,NA
may,a,2,Q4,Sonchus asper,NA
may,a,2,Q4,Spergula arvensis,3
may,a,2,Q4,Stellaria graminea,NA
may,a,2,Q4,Taraxacum officinale,NA
may,a,2,Q4,Tripleurospermum inodorum,NA
may,a,2,Q4,Veronica arvensis,NA
may,a,2,Q4,Veronica persica,4
may,a,2,Q4,Viola arvensis,NA
may,a,2,Q4,Vulpia myuros,NA
may,a,2,Q5,Achillea millefolium,NA
may,a,2,Q5,Agrostis gigantea,2
may,a,2,Q5,Anagallis arvensis,2
may,a,2,Q5,Anchusa arvensis,NA
may,a,2,Q5,Anisantha sterilis,NA
may,a,2,Q5,Aphanes australis,NA
may,a,2,Q5,Artemesia vulgaris,NA
may,a,2,Q5,Bromus hordaceus,NA
may,a,2,Q5,Cerastium glomeratun,NA
may,a,2,Q5,Chenopodium album,5
may,a,2,Q5,Cirsium arvense,9
may,a,2,Q5,Conyza canadensis,NA
may,a,2,Q5,Crepis capillaris,NA
may,a,2,Q5,Crepis paludos,NA
may,a,2,Q5,Elytrigia repens,NA
may,a,2,Q5,Epilobium ciliatum,NA
may,a,2,Q5,Erodium cicutarium,NA
may,a,2,Q5,Fallopia convolvulus,NA
may,a,2,Q5,Festuca rubra,NA
may,a,2,Q5,Geranium molle,NA
may,a,2,Q5,Holcus mollis,89
may,a,2,Q5,Hypochaeris radicata,NA
may,a,2,Q5,Lactuca serriola,NA
may,a,2,Q5,Medicago lupulina,NA
may,a,2,Q5,Myosotis arvensis,NA
may,a,2,Q5,Plantago lanceolata,NA
may,a,2,Q5,Polpaver dubium,NA
may,a,2,Q5,Raphanus raphanistrum,NA
may,a,2,Q5,Rumex acetosella,3
may,a,2,Q5,Rumex crispus,NA
may,a,2,Q5,Rumex obtusifolia,NA
may,a,2,Q5,Semecio jacobaea,NA
may,a,2,Q5,Sonchus asper,4
may,a,2,Q5,Spergula arvensis,NA
may,a,2,Q5,Stellaria graminea,NA
may,a,2,Q5,Taraxacum officinale,NA
may,a,2,Q5,Tripleurospermum inodorum,NA
may,a,2,Q5,Veronica arvensis,NA
may,a,2,Q5,Veronica persica,6
may,a,2,Q5,Viola arvensis,NA
may,a,2,Q5,Vulpia myuros,NA
march,a,3,Q1,Achillea millefolium,1
march,a,3,Q1,Agrostis gigantea,8
march,a,3,Q1,Anagallis arvensis,NA
march,a,3,Q1,Anchusa arvensis,NA
march,a,3,Q1,Anisantha sterilis,NA
march,a,3,Q1,Aphanes australis,NA
march,a,3,Q1,Artemesia vulgaris,9
march,a,3,Q1,Bromus hordaceus,NA
march,a,3,Q1,Cerastium glomeratun,NA
march,a,3,Q1,Chenopodium album,NA
march,a,3,Q1,Cirsium arvense,NA
march,a,3,Q1,Conyza canadensis,NA
march,a,3,Q1,Crepis capillaris,NA
march,a,3,Q1,Crepis paludos,NA
march,a,3,Q1,Elytrigia repens,NA
march,a,3,Q1,Epilobium ciliatum,NA
march,a,3,Q1,Erodium cicutarium,NA
march,a,3,Q1,Fallopia convolvulus,NA
march,a,3,Q1,Festuca rubra,NA
march,a,3,Q1,Geranium molle,NA
march,a,3,Q1,Holcus mollis,46
march,a,3,Q1,Hypochaeris radicata,NA
march,a,3,Q1,Lactuca serriola,NA
march,a,3,Q1,Medicago lupulina,NA
march,a,3,Q1,Myosotis arvensis,NA
march,a,3,Q1,Plantago lanceolata,NA
march,a,3,Q1,Polpaver dubium,NA
march,a,3,Q1,Raphanus raphanistrum,NA
march,a,3,Q1,Rumex acetosella,3
march,a,3,Q1,Rumex crispus,NA
march,a,3,Q1,Rumex obtusifolia,2
march,a,3,Q1,Semecio jacobaea,NA
march,a,3,Q1,Sonchus asper,NA
march,a,3,Q1,Spergula arvensis,NA
march,a,3,Q1,Stellaria graminea,NA
march,a,3,Q1,Taraxacum officinale,NA
march,a,3,Q1,Tripleurospermum inodorum,NA
march,a,3,Q1,Veronica arvensis,NA
march,a,3,Q1,Veronica persica,NA
march,a,3,Q1,Viola arvensis,1
march,a,3,Q1,Vulpia myuros,NA
march,a,3,Q2,Achillea millefolium,2
march,a,3,Q2,Agrostis gigantea,NA
march,a,3,Q2,Anagallis arvensis,NA
march,a,3,Q2,Anchusa arvensis,NA
march,a,3,Q2,Anisantha sterilis,NA
march,a,3,Q2,Aphanes australis,NA
march,a,3,Q2,Artemesia vulgaris,1
march,a,3,Q2,Bromus hordaceus,NA
march,a,3,Q2,Cerastium glomeratun,NA
march,a,3,Q2,Chenopodium album,NA
march,a,3,Q2,Cirsium arvense,NA
march,a,3,Q2,Conyza canadensis,NA
march,a,3,Q2,Crepis capillaris,NA
march,a,3,Q2,Crepis paludos,NA
march,a,3,Q2,Elytrigia repens,NA
march,a,3,Q2,Epilobium ciliatum,NA
march,a,3,Q2,Erodium cicutarium,NA
march,a,3,Q2,Fallopia convolvulus,NA
march,a,3,Q2,Festuca rubra,NA
march,a,3,Q2,Geranium molle,NA
march,a,3,Q2,Holcus mollis,27
march,a,3,Q2,Hypochaeris radicata,NA
march,a,3,Q2,Lactuca serriola,NA
march,a,3,Q2,Medicago lupulina,8
march,a,3,Q2,Myosotis arvensis,NA
march,a,3,Q2,Plantago lanceolata,NA
march,a,3,Q2,Polpaver dubium,NA
march,a,3,Q2,Raphanus raphanistrum,NA
march,a,3,Q2,Rumex acetosella,NA
march,a,3,Q2,Rumex crispus,NA
march,a,3,Q2,Rumex obtusifolia,NA
march,a,3,Q2,Semecio jacobaea,NA
march,a,3,Q2,Sonchus asper,NA
march,a,3,Q2,Spergula arvensis,NA
march,a,3,Q2,Stellaria graminea,NA
march,a,3,Q2,Taraxacum officinale,NA
march,a,3,Q2,Tripleurospermum inodorum,NA
march,a,3,Q2,Veronica arvensis,1
march,a,3,Q2,Veronica persica,NA
march,a,3,Q2,Viola arvensis,NA
march,a,3,Q2,Vulpia myuros,NA
march,a,3,Q3,Achillea millefolium,5
march,a,3,Q3,Agrostis gigantea,53
march,a,3,Q3,Anagallis arvensis,NA
march,a,3,Q3,Anchusa arvensis,NA
march,a,3,Q3,Anisantha sterilis,NA
march,a,3,Q3,Aphanes australis,NA
march,a,3,Q3,Artemesia vulgaris,14
march,a,3,Q3,Bromus hordaceus,NA
march,a,3,Q3,Cerastium glomeratun,NA
march,a,3,Q3,Chenopodium album,NA
march,a,3,Q3,Cirsium arvense,NA
march,a,3,Q3,Conyza canadensis,NA
march,a,3,Q3,Crepis capillaris,NA
march,a,3,Q3,Crepis paludos,NA
march,a,3,Q3,Elytrigia repens,NA
march,a,3,Q3,Epilobium ciliatum,NA
march,a,3,Q3,Erodium cicutarium,NA
march,a,3,Q3,Fallopia convolvulus,NA
march,a,3,Q3,Festuca rubra,NA
march,a,3,Q3,Geranium molle,NA
march,a,3,Q3,Holcus mollis,23
march,a,3,Q3,Hypochaeris radicata,NA
march,a,3,Q3,Lactuca serriola,NA
march,a,3,Q3,Medicago lupulina,21
march,a,3,Q3,Myosotis arvensis,NA
march,a,3,Q3,Plantago lanceolata,NA
march,a,3,Q3,Polpaver dubium,NA
march,a,3,Q3,Raphanus raphanistrum,NA
march,a,3,Q3,Rumex acetosella,2
march,a,3,Q3,Rumex crispus,2
march,a,3,Q3,Rumex obtusifolia,4
march,a,3,Q3,Semecio jacobaea,NA
march,a,3,Q3,Sonchus asper,NA
march,a,3,Q3,Spergula arvensis,NA
march,a,3,Q3,Stellaria graminea,NA
march,a,3,Q3,Taraxacum officinale,NA
march,a,3,Q3,Tripleurospermum inodorum,NA
march,a,3,Q3,Veronica arvensis,NA
march,a,3,Q3,Veronica persica,NA
march,a,3,Q3,Viola arvensis,NA
march,a,3,Q3,Vulpia myuros,NA
march,a,3,Q4,Achillea millefolium,12
march,a,3,Q4,Agrostis gigantea,16
march,a,3,Q4,Anagallis arvensis,NA
march,a,3,Q4,Anchusa arvensis,NA
march,a,3,Q4,Anisantha sterilis,NA
march,a,3,Q4,Aphanes australis,NA
march,a,3,Q4,Artemesia vulgaris,13
march,a,3,Q4,Bromus hordaceus,NA
march,a,3,Q4,Cerastium glomeratun,NA
march,a,3,Q4,Chenopodium album,NA
march,a,3,Q4,Cirsium arvense,NA
march,a,3,Q4,Conyza canadensis,NA
march,a,3,Q4,Crepis capillaris,NA
march,a,3,Q4,Crepis paludos,NA
march,a,3,Q4,Elytrigia repens,NA
march,a,3,Q4,Epilobium ciliatum,NA
march,a,3,Q4,Erodium cicutarium,NA
march,a,3,Q4,Fallopia convolvulus,NA
march,a,3,Q4,Festuca rubra,NA
march,a,3,Q4,Geranium molle,NA
march,a,3,Q4,Holcus mollis,18
march,a,3,Q4,Hypochaeris radicata,NA
march,a,3,Q4,Lactuca serriola,NA
march,a,3,Q4,Medicago lupulina,11
march,a,3,Q4,Myosotis arvensis,NA
march,a,3,Q4,Plantago lanceolata,NA
march,a,3,Q4,Polpaver dubium,NA
march,a,3,Q4,Raphanus raphanistrum,NA
march,a,3,Q4,Rumex acetosella,4
march,a,3,Q4,Rumex crispus,NA
march,a,3,Q4,Rumex obtusifolia,9
march,a,3,Q4,Semecio jacobaea,NA
march,a,3,Q4,Sonchus asper,NA
march,a,3,Q4,Spergula arvensis,NA
march,a,3,Q4,Stellaria graminea,NA
march,a,3,Q4,Taraxacum officinale,NA
march,a,3,Q4,Tripleurospermum inodorum,NA
march,a,3,Q4,Veronica arvensis,NA
march,a,3,Q4,Veronica persica,NA
march,a,3,Q4,Viola arvensis,NA
march,a,3,Q4,Vulpia myuros,NA
march,a,3,Q5,Achillea millefolium,2
march,a,3,Q5,Agrostis gigantea,47
march,a,3,Q5,Anagallis arvensis,NA
march,a,3,Q5,Anchusa arvensis,NA
march,a,3,Q5,Anisantha sterilis,NA
march,a,3,Q5,Aphanes australis,NA
march,a,3,Q5,Artemesia vulgaris,5
march,a,3,Q5,Bromus hordaceus,NA
march,a,3,Q5,Cerastium glomeratun,NA
march,a,3,Q5,Chenopodium album,NA
march,a,3,Q5,Cirsium arvense,NA
march,a,3,Q5,Conyza canadensis,NA
march,a,3,Q5,Crepis capillaris,NA
march,a,3,Q5,Crepis paludos,NA
march,a,3,Q5,Elytrigia repens,NA
march,a,3,Q5,Epilobium ciliatum,NA
march,a,3,Q5,Erodium cicutarium,NA
march,a,3,Q5,Fallopia convolvulus,NA
march,a,3,Q5,Festuca rubra,NA
march,a,3,Q5,Geranium molle,NA
march,a,3,Q5,Holcus mollis,27
march,a,3,Q5,Hypochaeris radicata,NA
march,a,3,Q5,Lactuca serriola,NA
march,a,3,Q5,Medicago lupulina,59
march,a,3,Q5,Myosotis arvensis,NA
march,a,3,Q5,Plantago lanceolata,NA
march,a,3,Q5,Polpaver dubium,NA
march,a,3,Q5,Raphanus raphanistrum,NA
march,a,3,Q5,Rumex acetosella,NA
march,a,3,Q5,Rumex crispus,NA
march,a,3,Q5,Rumex obtusifolia,NA
march,a,3,Q5,Semecio jacobaea,NA
march,a,3,Q5,Sonchus asper,NA
march,a,3,Q5,Spergula arvensis,NA
march,a,3,Q5,Stellaria graminea,NA
march,a,3,Q5,Taraxacum officinale,1
march,a,3,Q5,Tripleurospermum inodorum,NA
march,a,3,Q5,Veronica arvensis,NA
march,a,3,Q5,Veronica persica,NA
march,a,3,Q5,Viola arvensis,NA
march,a,3,Q5,Vulpia myuros,NA
march,a,3,Q6,Achillea millefolium,NA
march,a,3,Q6,Agrostis gigantea,12
march,a,3,Q6,Anagallis arvensis,NA
march,a,3,Q6,Anchusa arvensis,NA
march,a,3,Q6,Anisantha sterilis,NA
march,a,3,Q6,Aphanes australis,NA
march,a,3,Q6,Artemesia vulgaris,29
march,a,3,Q6,Bromus hordaceus,NA
march,a,3,Q6,Cerastium glomeratun,NA
march,a,3,Q6,Chenopodium album,NA
march,a,3,Q6,Cirsium arvense,NA
march,a,3,Q6,Conyza canadensis,NA
